A(deg)				B(deg)				C(deg)				A( , )				B( , )				C( , )
30.032416103738246		49.76679377717093		100.20079011909084		( 0.77013675809234 , 1.501238195607307 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
103.27793284723634		50.550363528512406		26.171703624251265		( -0.21205128790537264 , 0.34993597476990135 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
38.22013526221952		73.38259463065032		68.39727010713018		( -0.07023012150734224 , -1.440036421917149 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
26.081849814451694		27.105906677149743		126.81224350839858		( 1.120976183429852 , 0.8297062995467881 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
81.57153043419945		18.52129968524371		79.90716988055685		( 0.4437248440412678 , 0.3161560703908636 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
94.21309519862251		22.73103210368591		63.0558726976916		( 0.32443690872012293 , 0.3453942077607116 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
17.276502601822823		87.6188880432199		75.10460935495728		( -0.3648065626749483 , 3.251234572623023 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
75.0987757453752		100.62133019251553		4.279894062109383		( -0.5142340586401813 , 0.07590272944775167 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
14.384815378207103		89.55145534948052		76.06372927231243		( -0.4694160705703957 , 3.9066217307509916 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
84.2842074566806		29.434847741098157		66.28094480222124		( 0.3013319901991906 , 0.45216970960034697 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
22.44112890079643		116.97480300263507		40.58406809656852		( -1.2730371054074818 , 1.5188215956755673 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
25.410280306314725		54.71426596562872		99.87545372805656		( 0.8262617899223972 , 1.8741359771890125 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
12.222039000495457		157.4496632813111		10.328297718193431		( -1.2821431346113088 , 0.3247796280029157 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
10.918559768324089		85.49180518175945		83.58963504991647		( -0.08762055061308106 , -5.23021373473936 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
59.306119572126775		18.077398617226127		102.6164818106471		( 0.5788193270559049 , 0.35214154606442244 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
157.66318606496932		5.383362737506829		16.953451197523822		( 0.263868189698932 , -0.07198301921298725 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
139.48305872820018		37.14534680030707		3.3715944714927617		( -0.4278421592065486 , -0.05466237502817517 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
10.709587061748948		10.680705838980792		158.6097070992702		( 1.4286358097320502 , -0.36374691295584355 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
108.25757934469522		56.94315881891839		14.799261836386398		( -0.35328249897438296 , -0.2254352003611667 )		( -0.5 , 0.0 )		( 0.5 , 0.0 )		
